Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: perspective_taking,Store: emotion_contagion,Store: online_simulation,Store: peripheral_responsivity,Store: proximal_responsivity,Store: CE,Store: AE
11,1681737576610,17/04/2023 13:19:36,1681741176610,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can tell if someone is masking their true emotion.**,response,quantised,3,,,Q26_CE_Perpective_Taking,6,object-57,19,0,10,4,4,29,8
12,1681737576610,17/04/2023 13:19:36,1681741176610,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Friends talk to me about their problems as they say that I am very understanding.**,response,value,Strongly Agree,,,Q23_AE_Proximal_Responsivity,3,object-51,19,0,10,4,4,29,8
13,1681737576611,17/04/2023 13:19:36,1681741176611,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Friends talk to me about their problems as they say that I am very understanding.**,response,quantised,4,,,Q23_AE_Proximal_Responsivity,3,object-51,19,0,10,4,4,29,8
14,1681737576613,17/04/2023 13:19:36,1681741176613,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,"**I can usually appreciate the other person’s viewpoint, even if I do not agree with it.**",response,value,Strongly Agree,,,Q28_CE_Online_Simulation,8,object-62,19,0,10,4,4,29,8
15,1681737576613,17/04/2023 13:19:36,1681741176613,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,"**I can usually appreciate the other person’s viewpoint, even if I do not agree with it.**",response,quantised,4,,,Q28_CE_Online_Simulation,8,object-62,19,0,10,4,4,29,8
16,1681737576614,17/04/2023 13:19:36,1681741176614,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can easily tell if someone else is interested or bored with what I am saying.**,response,value,Agree,,,Q22_CE_Perpective_Taking,2,object-49,19,0,10,4,4,29,8
17,1681737576615,17/04/2023 13:19:36,1681741176615,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can easily tell if someone else is interested or bored with what I am saying.**,response,quantised,3,,,Q22_CE_Perpective_Taking,2,object-49,19,0,10,4,4,29,8
18,1681737576615,17/04/2023 13:19:36,1681741176615,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Other people tell me I am good at understanding how they are feeling and what they are thinking.**,response,value,Strongly Agree,,,Q21_CE_Perpective_Taking,1,object-47,19,0,10,4,4,29,8
19,1681737576616,17/04/2023 13:19:36,1681741176616,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**Other people tell me I am good at understanding how they are feeling and what they are thinking.**,response,quantised,4,,,Q21_CE_Perpective_Taking,1,object-47,19,0,10,4,4,29,8
20,1681737576616,17/04/2023 13:19:36,1681741176616,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can easily work out what another person might want to talk about.**,response,value,Agree,,,Q25_CE_Perpective_Taking,5,object-55,19,0,10,4,4,29,8
21,1681737576617,17/04/2023 13:19:36,1681741176617,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,**I can easily work out what another person might want to talk about.**,response,quantised,3,,,Q25_CE_Perpective_Taking,5,object-55,19,0,10,4,4,29,8
22,1681737576618,17/04/2023 13:19:36,1681741176618,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,"**I can sense if I am intruding, even if the other person does not tell me.**",response,value,Agree,,,Q24_CE_Perpective_Taking,4,object-53,19,0,10,4,4,29,8
23,1681737576619,17/04/2023 13:19:36,1681741176619,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 4,slymoa,2,"**I can sense if I am intruding, even if the other person does not tell me.**",response,quantised,3,,,Q24_CE_Perpective_Taking,4,object-53,19,0,10,4,4,29,8
24,1681737576619,17/04/2023 13:19:36,1681741176619,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I find it easy to put myself in somebody else’s shoes.**,response,value,Strongly Agree,,,Q18_CE_Online_Simulation,9,object-43,30,5,14,12,9,44,26
25,1681737576620,17/04/2023 13:19:36,1681741176620,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I find it easy to put myself in somebody else’s shoes.**,response,quantised,4,,,Q18_CE_Online_Simulation,9,object-43,30,5,14,12,9,44,26
26,1681737576620,17/04/2023 13:19:36,1681741176620,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I can pick up quickly if someone says one thing but means another.**,response,value,Disagree,,,Q16_CE_Perpective_Taking,7,object-39,30,5,14,12,9,44,26
27,1681737576621,17/04/2023 13:19:36,1681741176621,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I can pick up quickly if someone says one thing but means another.**,response,quantised,2,,,Q16_CE_Perpective_Taking,7,object-39,30,5,14,12,9,44,26
28,1681737576623,17/04/2023 13:19:36,1681741176623,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I can easily tell if someone else wants to enter a conversation.**,response,value,Agree,,,Q15_CE_Perpective_Taking,6,object-37,30,5,14,12,9,44,26
29,1681737576624,17/04/2023 13:19:36,1681741176624,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I can easily tell if someone else wants to enter a conversation.**,response,quantised,3,,,Q15_CE_Perpective_Taking,6,object-37,30,5,14,12,9,44,26
30,1681737576625,17/04/2023 13:19:36,1681741176625,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,"**I often get deeply involved with the feelings of a character in a film, play, or novel.**",response,value,Strongly Agree,,,Q11_AE_Peripheral_Responsivity,2,object-29,30,5,14,12,9,44,26
31,1681737576626,17/04/2023 13:19:36,1681741176626,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,"**I often get deeply involved with the feelings of a character in a film, play, or novel.**",response,quantised,4,,,Q11_AE_Peripheral_Responsivity,2,object-29,30,5,14,12,9,44,26
32,1681737576626,17/04/2023 13:19:36,1681741176626,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I get very upset when I see someone cry.**,response,value,Disagree,,,Q12_AE_Proximal_Responsivity,3,object-31,30,5,14,12,9,44,26
33,1681737576627,17/04/2023 13:19:36,1681741176627,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I get very upset when I see someone cry.**,response,quantised,2,,,Q12_AE_Proximal_Responsivity,3,object-31,30,5,14,12,9,44,26
34,1681737576628,17/04/2023 13:19:36,1681741176628,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am quick to spot when someone in a group is feeling awkward or uncomfortable.**,response,value,Agree,,,Q20_CE_Perpective_Taking,11,object-70,30,5,14,12,9,44,26
35,1681737576629,17/04/2023 13:19:36,1681741176629,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am quick to spot when someone in a group is feeling awkward or uncomfortable.**,response,quantised,3,,,Q20_CE_Perpective_Taking,11,object-70,30,5,14,12,9,44,26
36,1681737576630,17/04/2023 13:19:36,1681741176630,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It worries me when others are worrying and panicky.**,response,value,Disagree,,,Q14_AE_Emotion_Contagion,5,object-35,30,5,14,12,9,44,26
37,1681737576631,17/04/2023 13:19:36,1681741176631,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It worries me when others are worrying and panicky.**,response,quantised,2,,,Q14_AE_Emotion_Contagion,5,object-35,30,5,14,12,9,44,26
38,1681737576631,17/04/2023 13:19:36,1681741176631,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It affects me very much when one of my friends seems upset.**,response,value,Agree,,,Q10_AE_Proximal_Responsivity,1,object-27,30,5,14,12,9,44,26
39,1681737576632,17/04/2023 13:19:36,1681741176632,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It affects me very much when one of my friends seems upset.**,response,quantised,3,,,Q10_AE_Proximal_Responsivity,1,object-27,30,5,14,12,9,44,26
40,1681737576632,17/04/2023 13:19:36,1681741176632,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am happy when I am with a cheerful group and sad when the others are glum.**,response,value,Agree,,,Q13_AE_Emotion_Contagion,4,object-33,30,5,14,12,9,44,26
41,1681737576633,17/04/2023 13:19:36,1681741176633,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am happy when I am with a cheerful group and sad when the others are glum.**,response,quantised,3,,,Q13_AE_Emotion_Contagion,4,object-33,30,5,14,12,9,44,26
42,1681737576634,17/04/2023 13:19:36,1681741176634,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It is hard for me to see why some things upset people so much.**,response,value,Strongly Disagree,,,Q17_AE_Peripheral_Responsivity_R,8,object-41,30,5,14,12,9,44,26
43,1681737576635,17/04/2023 13:19:36,1681741176635,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**It is hard for me to see why some things upset people so much.**,response,quantised,1,,,Q17_AE_Peripheral_Responsivity_R,8,object-41,30,5,14,12,9,44,26
44,1681737576637,17/04/2023 13:19:36,1681741176637,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am good at predicting how someone will feel.**,response,value,Agree,,,Q19_CE_Perpective_Taking,10,object-45,30,5,14,12,9,44,26
45,1681737576637,17/04/2023 13:19:36,1681741176637,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 3,4ai8ku,3,**I am good at predicting how someone will feel.**,response,quantised,3,,,Q19_CE_Perpective_Taking,10,object-45,30,5,14,12,9,44,26
46,1681737576638,17/04/2023 13:19:36,1681741176638,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I often get emotionally involved with my friends’ problems.**,response,value,Agree,,,Q7_AE_Proximal_Responsivity,8,object-21,30,10,28,16,12,58,38
47,1681737576639,17/04/2023 13:19:36,1681741176639,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I often get emotionally involved with my friends’ problems.**,response,quantised,3,,,Q7_AE_Proximal_Responsivity,8,object-21,30,10,28,16,12,58,38
48,1681737576640,17/04/2023 13:19:36,1681741176640,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**People I am with have a strong influence on my mood.**,response,value,Disagree,,,Q9_AE_Emotion_Contagion,10,object-25,30,10,28,16,12,58,38
49,1681737576641,17/04/2023 13:19:36,1681741176641,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**People I am with have a strong influence on my mood.**,response,quantised,2,,,Q9_AE_Emotion_Contagion,10,object-25,30,10,28,16,12,58,38
50,1681737576642,17/04/2023 13:19:36,1681741176642,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**When I am upset at someone, I usually try to “put myself in his shoes” for a while.**",response,value,Agree,,,Q5_CE_Online_Simulation,5,object-14,30,10,28,16,12,58,38
51,1681737576643,17/04/2023 13:19:36,1681741176643,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**When I am upset at someone, I usually try to “put myself in his shoes” for a while.**",response,quantised,3,,,Q5_CE_Online_Simulation,5,object-14,30,10,28,16,12,58,38
52,1681737576644,17/04/2023 13:19:36,1681741176644,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I am inclined to get nervous when others around me seem to be nervous.**,response,value,Agree,,,Q8_AE_Emotion_Contagion,9,object-23,30,10,28,16,12,58,38
53,1681737576645,17/04/2023 13:19:36,1681741176645,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I am inclined to get nervous when others around me seem to be nervous.**,response,quantised,3,,,Q8_AE_Emotion_Contagion,9,object-23,30,10,28,16,12,58,38
54,1681737576646,17/04/2023 13:19:36,1681741176646,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**Before criticizing somebody, I try to imagine how I would feel if I was in their place.**",response,value,Agree,,,Q6_CE_Online_Simulation,7,object-19,30,10,28,16,12,58,38
55,1681737576647,17/04/2023 13:19:36,1681741176647,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**Before criticizing somebody, I try to imagine how I would feel if I was in their place.**",response,quantised,3,,,Q6_CE_Online_Simulation,7,object-19,30,10,28,16,12,58,38
56,1681737576648,17/04/2023 13:19:36,1681741176648,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**Please select ""Strongly Agree"" to show you are paying attention to this question.**",response,value,Strongly Disagree,,,Q0_Attention_Check,6,object-16,30,10,28,16,12,58,38
57,1681737576649,17/04/2023 13:19:36,1681741176649,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,"**Please select ""Strongly Agree"" to show you are paying attention to this question.**",response,quantised,1,,,Q0_Attention_Check,6,object-16,30,10,28,16,12,58,38
58,1681737576650,17/04/2023 13:19:36,1681741176650,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I sometimes try to understand my friends better by imagining how things look from their perspective.**,response,value,Agree,,,Q4_CE_Online_Simulation,4,object-12,30,10,28,16,12,58,38
59,1681737576651,17/04/2023 13:19:36,1681741176651,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I sometimes try to understand my friends better by imagining how things look from their perspective.**,response,quantised,3,,,Q4_CE_Online_Simulation,4,object-12,30,10,28,16,12,58,38
60,1681737576652,17/04/2023 13:19:36,1681741176652,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I sometimes find it difficult to see things from the “other guy’s” point of view.**,response,value,Disagree,,,Q1_CE_Online_Simulation_R,1,object-5,30,10,28,16,12,58,38
61,1681737576653,17/04/2023 13:19:36,1681741176653,1,17/04/2023 15:19:36,121969,5,questionnaire-tx5o,,28916236,BLIND,8609541,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,QCAE,6,AB,BA,Page 2,7jwaw8,4,**I sometimes find it difficult to see things from the “other guy’s” point of view.**,response,quantised,2,,,Q1_CE_Online_Simulation_R,1,object-5,30,10,28,16,12,58,38
